h: 0.01
xi step: 0.001
xi: 0.1386108398437501
+----------------------+------------------------+------------------------+--------------------+
|          z           |          u_p           |           u            |         F          |
|  0.6700000000000004  |  1.01343821411804e-06  | 2.970228442272912e-07  | 4800.046617695198  |
|  0.6800000000000004  | 9.466783281759903e-07  | 2.9598714880999195e-07 | 4773.499204785889  |
|  0.6900000000000004  | 8.800738491526501e-07  | 2.9498230238008226e-07 | 4743.177527348777  |
|  0.7000000000000004  | 8.139052978893092e-07  | 2.940095462920665e-07  | 4709.286084830161  |
|  0.7100000000000004  | 7.484685003276881e-07  | 2.930699933220724e-07  | 4672.0518633305155 |
|  0.7200000000000004  | 6.840726154460896e-07  | 2.9216462196064005e-07 | 4631.722950536506  |
|  0.7300000000000004  | 6.210375719224918e-07  | 2.9129427199268735e-07 | 4588.5667335076205 |
|  0.7400000000000004  | 5.596908373378456e-07  | 2.904596414562312e-07  | 4542.867665678019  |
|  0.7500000000000004  | 5.003634452879829e-07  | 2.896612850439268e-07  | 4494.924598454696  |
|  0.7600000000000005  | 4.433852122800723e-07  | 2.888996139789312e-07  | 4445.047684064988  |
|  0.7700000000000005  | 3.8907908980808856e-07 | 2.8817489735940793e-07 | 4393.554870003795  |
|  0.7800000000000005  | 3.3775462012665466e-07 | 2.874872649248622e-07  | 4340.768021647573  |
|  0.7900000000000005  | 2.897005001383712e-07  | 2.868367111534744e-07  | 4287.008728304178  |
|  0.8000000000000005  | 2.451763101681682e-07  | 2.862231005540805e-07  |  4232.59386893062  |
|  0.8100000000000005  | 2.0440353725660617e-07 | 2.8564617397123234e-07 | 4177.831036480431  |
|  0.8200000000000005  | 1.6755611992339027e-07 | 2.851055556790228e-07  |  4123.01394347865  |
|  0.8300000000000005  | 1.3475086620963476e-07 | 2.8460076100160534e-07 |  4068.41795463033  |
|  0.8400000000000005  | 1.0603825000225171e-07 | 2.841312041683315e-07  | 4014.295913124503  |
|  0.8500000000000005  | 8.139426847589069e-08  | 2.8369620609205753e-07 | 3960.8744431912132 |
|  0.8600000000000005  | 6.071423445632954e-08  | 2.8329500175319263e-07 | 3908.350919064577  |
|  0.8700000000000006  | 4.380955780463003e-08  | 2.8292674688183283e-07 | 3856.891285791324  |
|  0.8800000000000006  |  3.04086979549425e-08  | 2.825905236574168e-07  | 3806.628895881092  |
|  0.8900000000000006  | 2.0163480838204277e-08 | 2.822853451900916e-07  | 3757.6644833527134 |
|  0.9000000000000006  | 1.2661777548345282e-08 | 2.820101586090452e-07  | 3710.0673301757374 |
|  0.9100000000000006  | 7.447030347967264e-09  | 2.817638466570224e-07  | 3663.8775890277093 |
|  0.9200000000000006  | 4.044181252984763e-09  | 2.815452277713771e-07  | 3619.1096150611065 |
|  0.9300000000000006  | 1.990169865542725e-09  | 2.8135305471249217e-07 | 3575.7560394752813 |
|  0.9400000000000006  | 8.654433759069898e-10  |  2.81186011870978e-07  | 3533.7922093882516 |
|  0.9500000000000006  |  3.21280416438334e-10  |  2.81042711436531e-07  | 3493.180550278247  |
|  0.9600000000000006  | 9.697880534094031e-11  | 2.809216886366422e-07  | 3453.8744105070427 |
|  0.9700000000000006  | 2.217092536266829e-11  | 2.8082139625002997e-07 | 3415.821044259762  |
|  0.9800000000000006  | 3.446933683820326e-12  | 2.807401985717286e-07  | 3378.963574314283  |
|  0.9900000000000007  | 3.069603040445606e-13  | 2.8067636496469497e-07 | 3343.2420012466937 |
|  1.0000000000000007  | 1.1700873283963124e-14 | 2.8062806309068706e-07 | 3308.593506143198  |
+----------------------+------------------------+------------------------+--------------------+
